dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs
cuda,adv_inception_v3,128,15.606652,13.107796,9.958222,6.547553,1.460331,4.727043,1.094192,0.773828,0.047252,0.000006,0.538096
cuda,beit_base_patch16_224,64,11.300981,9.701662,7.137607,5.534691,0.747745,4.716452,1.005547,0.528805,0.043738,0.000005,1.980342
cuda,botnet26t_256,128,14.251551,11.548513,8.869452,7.473344,1.585432,5.823792,2.210997,0.777825,0.021393,0.000005,5.624692
cuda,cait_m36_384,4,22.582348,18.724978,16.106485,10.527969,2.325064,7.952924,2.728634,1.620513,0.215935,0.000006,9.346068
cuda,coat_lite_mini,128,13.130204,11.554386,8.877869,7.429630,0.942259,6.421704,1.618058,0.759840,0.046258,0.000005,31.688397
cuda,convit_base,64,10.688262,9.095652,6.377935,4.616419,0.916485,3.619763,1.133840,0.593430,0.051056,0.000005,1.745686
cuda,convmixer_768_32,32,10.416410,7.432177,4.926490,2.503214,0.892574,1.500818,0.524625,0.278868,0.031851,0.000006
cuda,convnext_base,64,11.648835,8.882699,6.203831,4.447922,1.272037,3.089957,0.956057,0.565193,0.054322,0.000005,2.883298
cuda,crossvit_9_240,128,13.175308,11.029035,8.529652,5.741261,1.535938,4.081920,1.550431,0.926064,0.065624,0.000005,9.943727
cuda,cspdarknet53,64,11.253761,7.918830,5.376950,2.605808,0.969103,1.519502,0.636580,0.372403,0.032817,0.000006,1.347508
cuda,deit_base_distilled_patch16_224,64,7.774851,6.479818,3.999137,2.639273,0.621825,1.957215,0.874198,0.427948,0.036825,0.000005,0.911900
cuda,dla102,128,12.391008,9.984235,7.530561,3.743183,1.317417,2.050686,0.759498,0.540832,0.053915,0.000007,0.614283
cuda,dm_nfnet_f0,128,13.061066,9.639864,7.036645,4.663659,1.486405,3.061196,1.172300,0.696267,0.053772,0.000006,6.645835
cuda,dpn107,32,18.519103,12.803276,10.200929,5.708981,1.720362,3.770822,1.342974,0.953666,0.074010,0.000006,1.199665
cuda,eca_botnext26ts_256,128,12.068377,10.101318,7.528561,5.972188,1.626135,4.277133,2.055998,0.757260,0.024178,0.000004,1.969254
cuda,eca_halonext26ts,128,13.931659,11.922488,9.415774,7.842342,1.174748,6.596505,3.809843,1.161959,0.026411,0.000012,3.614255
cuda,ese_vovnet19b_dw,128,11.514016,6.150875,3.081842,2.133214,0.526583,1.563651,0.580530,0.497187,0.018917,0.000005,1.709071
cuda,fbnetc_100,128,12.958931,7.140193,4.580314,2.316421,1.077313,1.135247,0.368306,0.292960,0.029234,0.000010,0.495981
cuda,fbnetv3_b,128,15.014112,11.155342,8.475538,4.108057,1.523596,2.405063,1.138749,0.608350,0.054971,0.000006,2.908361
cuda,gernet_l,128,9.743450,6.417529,3.963526,1.965098,0.917376,0.956430,0.294116,0.231728,0.025480,0.000005,0.447269
cuda,ghostnet_100,128,11.663813,9.484715,6.900008,3.525620,1.323225,2.043109,0.780283,0.554603,0.049706,0.000007,2.949530
cuda,gluon_inception_v3,128,13.686901,9.783976,7.310526,3.924260,1.202109,2.370794,1.091086,0.947552,0.046074,0.000005
cuda,gluon_xception65,32,13.737494,11.076769,8.501855,3.661553,1.512320,1.922858,0.880850,0.544286,0.059432,0.000006,1.043303
cuda,gmixer_24_224,128,12.079104,8.672712,6.180808,4.036189,0.878235,3.067446,1.199681,0.581071,0.040084,0.000005,2.484956
cuda,gmlp_s16_224,128,11.870529,9.780591,7.219687,5.076543,1.193122,3.784950,1.095443,0.623864,0.038786,0.000008,3.411395
cuda,hrnet_w18,128,34.223052,25.179391,22.540474,9.696935,4.131991,4.698863,2.217759,1.422409,0.139657,0.000006,0.522861
cuda,inception_v3,128,12.330764,9.819177,7.299140,3.840928,1.238971,2.232547,1.118860,0.783009,0.046938,0.000011
cuda,jx_nest_base,32,15.272572,12.603589,10.035830,7.476283,1.701927,5.646006,2.226020,1.167564,0.081159,0.000005,18.264025
cuda,lcnet_050,128,7.414204,5.429867,2.856724,1.550300,0.513458,0.983234,0.306702,0.176148,0.021354,0.000004,4.719186
cuda,levit_128,128,13.119292,10.503402,8.013004,5.257186,1.172508,3.762475,1.046109,0.709267,0.047182,0.000005,21.257125
cuda,mixer_b16_224,128,7.003630,6.057606,3.413964,2.402785,0.523728,1.833437,0.488698,0.274798,0.022382,0.000005,2.168081
cuda,mixnet_l,128,14.670914,10.348182,7.769427,4.303216,1.155861,3.003236,1.258449,0.932888,0.066137,0.000006,1.752476
cuda,mnasnet_100,128,8.187016,6.238999,3.722367,1.939657,0.656288,1.201334,0.500799,0.242507,0.024489,0.000005,0.700261
cuda,mobilenetv2_100,128,8.489283,6.463062,3.954933,1.984684,0.692874,1.205228,0.524033,0.246749,0.024137,0.000004,0.690182
cuda,mobilenetv3_large_100,128,9.747857,6.848553,4.349257,2.362331,0.766547,1.511607,0.673382,0.321806,0.029150,0.000005,2.584235
cuda,mobilevit_s,64,19.618212,17.114234,14.535896,12.264152,1.854702,10.308277,5.064522,2.510824,0.049431,0.000007,46.010695
cuda,nfnet_l0,128,11.098244,8.493247,5.903757,3.754038,1.263390,2.392509,1.049245,0.612389,0.050370,0.000005,9.829050
cuda,pit_b_224,64,9.280431,7.772920,5.243861,3.733171,0.818398,2.847707,1.067102,0.521101,0.042875,0.000004,1.343122
cuda,pnasnet5large,16,32.384055,24.028121,21.428067,13.297753,3.717929,9.181957,5.520945,2.135210,0.139112,0.000007,0.867991
cuda,poolformer_m36,64,22.791173,17.388146,14.849499,12.149936,2.221633,9.792349,5.519091,2.719219,0.058851,0.000006,15.448880
cuda,regnety_002,128,9.011405,6.518215,3.948962,2.196151,0.909324,1.208423,0.389817,0.291699,0.030981,0.000006,2.632025
cuda,repvgg_a2,128,10.205561,7.486526,4.933103,2.849233,0.928357,1.823339,0.335093,0.188890,0.023158,0.000015,0.484711
cuda,res2net101_26w_4s,64,19.248787,15.836937,13.328367,5.989695,2.374832,3.274935,1.516809,1.109349,0.078636,0.000021,0.594088
cuda,res2net50_14w_8s,128,18.758418,15.843420,13.250444,5.826059,2.214671,3.283081,1.525124,1.050968,0.072174,0.000006,0.436809
cuda,res2next50,128,11.614864,9.700826,7.212891,3.592862,1.354964,2.075247,0.924954,0.663647,0.041572,0.000006
cuda,resmlp_12_224,128,6.425572,5.461461,2.767212,2.017431,0.313354,1.673026,0.262478,0.234812,0.022928,0.000005,4.174948
cuda,resnest101e,64,19.552572,15.596143,13.028029,6.941541,2.476292,4.184830,1.860940,1.232361,0.089333,0.000007,6.068309
cuda,rexnet_100,128,11.167192,8.346884,5.812026,3.340538,0.919812,2.121083,0.760033,0.533799,0.042409,0.000007,4.518023
cuda,sebotnet33ts_256,64,13.973426,11.600357,9.036401,7.100241,1.864087,5.149245,2.655154,0.944484,0.032323,0.000004,4.170615
cuda,selecsls42b,128,7.709453,6.835274,4.174400,2.707392,0.525599,2.114766,0.306075,0.215762,0.021812,0.000006,1.835098
cuda,spnasnet_100,128,9.314649,6.862905,4.312847,2.079917,0.996284,0.980232,0.373970,0.294351,0.029124,0.000005
cuda,swin_base_patch4_window7_224,64,23.802915,18.352028,15.779269,12.067729,2.054033,9.851701,4.741166,2.625659,0.084559,0.000006,10.425808
cuda,swsl_resnext101_32x16d,32,11.485025,9.468546,6.929577,3.179165,1.282349,1.530105,0.610490,0.454035,0.045701,0.000007,1.147603
cuda,tf_efficientnet_b0,128,9.919161,7.572730,5.001894,2.860573,1.041667,1.726756,0.639230,0.451887,0.038436,0.000005,2.132103
cuda,tf_mixnet_l,128,15.351231,10.553731,7.964757,4.553099,1.188485,3.223207,1.389673,1.050688,0.067398,0.000006,1.761306
cuda,tinynet_a,128,10.703773,8.099217,5.534593,3.036585,1.161507,1.765362,0.678205,0.468817,0.043771,0.000006,2.398773
cuda,tnt_s_patch16_224,128,15.737082,13.359811,10.801323,7.672069,1.617397,5.908165,2.552622,1.080308,0.080769,0.000005,4.843160
cuda,twins_pcpvt_base,64,18.134092,14.991616,12.371598,8.222577,1.890854,6.152337,2.615781,1.339365,0.110575,0.000019,38.796858
cuda,visformer_small,128,7.864270,6.514983,3.982836,2.452715,0.748866,1.631310,0.775946,0.362228,0.031590,0.000005,1.760507
cuda,vit_base_patch16_224,64,7.501577,6.169275,3.622299,2.261173,0.614147,1.586766,0.873791,0.425072,0.036538,0.000004
cuda,volo_d1_224,64,15.457121,11.298380,8.786417,6.369157,1.507893,4.742460,2.063506,1.009570,0.063215,0.000007,3.952024
cuda,xcit_large_24_p8_224,5,19.980472,16.322582,13.695714,8.197769,2.622038,5.324480,2.772534,1.500398,0.115732,0.000007,4.674664
